52;52;74;66
14;1;94;54
1;80;81;49
62;5;57;59
71;18;95;15
58;69;77;82
48;100;42;42
1;76;77;77
28;89;53;45
49;97;78;57
78;70;1;28
59;56;55;93
93;98;98;28
83;28;79;34
67;47;39;58
23;66;90;68
30;1;4;64
85;45;45;85
70;62;80;65
29;14;82;47
30;54;36;18
36;71;71;23
72;18;95;46
55;73;55;55
2;50;40;84
20;69;99;59
51;79;10;13
52;64;87;86
92;23;50;29
99;57;99;95
18;65;38;80
18;41;42;46
89;39;89;41
86;46;14;58
45;49;71;79
98;93;65;88
5;25;60;69
56;63;94;55
43;17;15;73
22;30;23;81
75;48;78;67
61;12;7;97
88;14;96;42
42;98;69;4
46;67;73;55
3;3;65;33
50;86;79;12
7;75;43;77
14;21;56;41
64;29;22;83
18;83;55;83
28;54;73;8
95;45;42;45
88;3;56;71
3;100;40;52
56;5;55;100
76;59;3;40
56;11;59;18
39;69;42;53
94;75;29;68
87;37;1;97
30;76;78;46
49;99;35;35
24;7;32;99
33;6;45;25
49;49;74;73
97;62;14;71
39;40;58;38
15;61;52;13
23;85;4;9
10;63;37;62
34;59;9;80
4;75;85;3
81;17;21;21
64;41;91;4
39;54;38;32
99;48;95;30
1;11;34;47
91;34;98;34
13;76;24;77
74;89;97;36
42;36;94;91
43;31;89;6
21;40;3;11
7;26;21;26
21;70;23;30
37;100;70;30
43;22;89;85
42;30;79;95
72;45;45;49
62;84;12;51
89;73;88;25
42;62;65;35
46;47;2;15
7;37;15;48
33;33;86;77
14;30;38;75
49;77;63;66
30;33;24;46
91;25;82;56
75;57;75;26
57;16;47;13
62;34;16;83
24;92;27;17
4;11;1;49
75;70;94;56
28;92;28;11
33;15;71;1
32;33;29;35
75;49;96;30
54;51;95;92
77;33;86;50
54;2;2;61
43;74;51;36
5;97;56;51
95;12;50;42
13;67;54;43
21;60;61;60
2;13;22;71
38;59;79;9
53;35;89;3
63;49;59;54
35;64;15;23
75;51;13;13
30;58;39;100
96;100;42;49
62;35;31;67
23;48;90;46
74;74;23;81
56;57;57;15
95;11;25;62
75;55;23;72
53;49;89;16
32;55;92;47
67;67;33;19
1;66;48;51
48;9;91;4
31;29;3;42
17;42;31;70
71;42;37;85
47;55;72;21
17;72;61;27
32;50;76;84
73;71;49;42
80;100;28;41
72;46;75;46
78;53;70;94
90;55;88;6
48;69;53;68
94;77;87;71
17;98;17;89
43;58;89;78
6;29;31;62
49;60;82;89
56;19;74;47
43;96;74;47
73;87;87;92
28;78;23;56
90;79;91;16
62;32;1;33
82;19;70;2
9;41;18;52
8;65;86;8
77;29;100;89
16;33;74;56
96;34;71;77
34;3;60;19
19;13;49;49
66;24;80;3
89;95;63;98
84;26;8;81
62;33;76;33
74;29;99;96
75;27;14;23
40;60;92;9
26;25;71;13
56;70;92;36
3;91;47;73
26;58;58;67
21;37;11;14
51;25;24;33
91;48;17;83
21;93;47;27
92;19;54;16
25;70;69;70
13;68;3;70
84;88;78;1
45;74;59;29
67;82;32;1
8;41;89;8
48;92;100;78
38;56;8;66
48;13;21;24
54;66;61;93
84;34;83;48
16;89;16;66
85;34;99;30
80;49;84;61
99;54;83;80
41;65;13;28
63;44;44;44
24;85;31;14
66;6;92;9
67;35;78;74
26;29;20;5
41;14;46;88
73;35;66;35
87;15;88;100
17;43;62;53
90;76;44;34
44;66;30;99
8;10;67;52
4;35;73;4
60;74;27;9
33;33;10;77
5;47;41;17
83;15;73;18
14;83;41;90
12;90;81;58
84;46;39;56
56;78;70;97
82;14;39;76
73;93;21;2
